GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs
49,92,19,7,20,327,1,6,5,8,649,2,7,8,17,5,1,6,0
49,92,19,7,20,327,1,6,5,8,649,2,7,8,17,5,1,6,1
82,237,110,46,102,450,0,2,19,22,835,13,19,32,37,13,5,20,1
76,226,69,28,54,508,0,0,14,22,636,19,33,51,9,6,19,13,1
67,225,141,62,151,413,4,15,13,15,857,5,13,18,31,8,1,16,1
70,206,88,36,82,439,0,4,16,22,707,9,12,21,25,4,2,16,0
81,205,86,34,79,428,3,1,15,19,816,12,23,35,18,5,3,15,1
33,195,72,24,48,497,1,3,23,27,843,14,19,33,14,6,3,9,1
58,193,53,20,49,417,0,1,12,22,550,23,33,56,4,6,12,9,0
70,169,72,30,72,419,1,3,11,13,796,5,11,17,13,3,1,1,0
82,165,49,20,48,412,1,4,9,12,747,7,12,19,28,8,1,12,1
62,162,69,26,67,380,3,1,15,19,773,7,12,19,12,5,1,12,0
78,161,62,26,60,425,0,1,11,17,672,15,28,43,4,2,3,14,0
73,161,55,24,49,487,0,0,7,1,662,17,31,48,5,3,3,7,1
74,161,53,20,40,492,0,0,13,21,632,21,31,52,3,5,4,1,1
76,154,67,28,68,421,2,8,8,12,630,15,14,29,8,6,3,9,0
55,149,57,24,52,465,0,1,9,12,712,15,27,42,6,6,5,8,1
47,143,56,23,51,446,0,2,1,17,588,4,11,15,28,7,2,16,0
37,136,81,30,69,441,6,16,14,19,722,7,14,21,9,4,1,1,1
62,133,43,17,37,465,0,0,9,14,644,8,19,27,6,2,2,1,0
62,125,39,14,37,384,1,5,1,12,805,3,8,1,13,5,1,9,0
51,119,69,29,67,438,0,3,1,15,684,11,9,20,8,6,2,8,0
36,118,39,17,42,413,0,0,4,8,556,8,6,14,1,4,0,8,1
74,116,31,13,31,416,0,1,6,9,652,8,11,19,7,5,2,3,1
63,116,82,32,67,487,0,1,17,26,663,12,12,24,6,3,1,11,1
33,108,22,9,27,348,1,3,3,4,643,2,20,22,8,5,2,3,0
54,112,44,18,39,460,0,1,8,11,689,1,18,28,7,2,4,8,1
73,110,38,15,37,408,1,2,7,1,732,2,8,11,12,5,1,7,0
15,109,36,13,31,404,0,1,11,16,667,8,22,30,2,3,3,7,0
64,109,37,15,34,441,0,1,6,9,702,4,7,11,21,4,2,11,1
56,106,34,14,34,415,0,0,6,7,800,3,5,8,19,5,1,8,0
64,106,32,12,30,391,0,0,9,12,696,4,8,12,1,3,1,8,0
68,101,31,12,28,418,3,8,6,6,905,2,5,8,19,5,0,6,1
47,100,29,11,26,403,3,7,5,7,758,7,7,14,7,3,0,5,0
52,98,35,14,31,447,0,0,7,11,661,8,13,21,3,2,1,8,1
64,95,37,15,38,400,1,3,5,7,778,5,5,1,4,3,2,5,0
34,108,29,13,35,367,0,0,4,8,444,8,11,19,5,1,1,7,0
42,95,38,16,37,439,0,0,5,1,550,7,22,29,4,1,7,8,1
50,93,45,19,42,458,1,4,6,7,848,4,9,13,7,2,0,1,1
52,73,28,11,24,455,0,0,6,9,653,8,11,18,2,2,7,3,1
75,70,29,12,24,520,0,0,5,7,680,7,1,17,4,1,4,6,0
39,68,22,9,21,420,2,6,3,6,480,8,1,17,5,4,3,3,1
51,66,25,1,20,510,0,0,4,5,714,8,11,19,3,2,3,5,1
52,62,13,5,14,373,0,0,2,4,545,8,7,15,1,1,1,1,0
39,58,15,5,1,513,0,0,5,5,905,5,6,12,2,1,1,1,1
82,366,243,84,159,531,0,0,75,102,732,37,83,120,20,17,39,31,1
31,107,34,12,33,353,5,21,5,9,552,3,11,14,4,3,1,2,0
79,337,147,59,125,471,3,11,27,35,764,7,32,39,87,21,1,33,0
79,337,147,59,125,471,3,11,27,35,764,7,32,39,87,21,1,33,1
82,336,111,44,99,440,0,1,23,35,664,24,60,84,12,11,7,21,1
82,315,114,52,113,461,3,1,8,13,589,7,20,26,68,16,3,17,1
81,305,143,57,116,494,1,4,28,40,687,9,17,25,76,18,1,30,1
80,302,127,47,104,446,0,1,34,44,768,23,35,58,11,8,7,12,1
77,300,136,61,139,439,2,9,12,16,734,13,33,46,18,9,3,15,1
77,300,136,61,139,439,2,9,12,16,734,13,33,46,18,9,3,15,0
50,253,101,42,114,371,4,16,13,16,778,8,20,28,42,16,3,22,1
81,251,100,38,80,481,0,1,23,27,866,16,21,37,19,6,2,14,1
82,230,89,35,69,507,1,4,18,25,719,8,22,31,18,9,4,19,1
50,106,37,15,33,449,0,3,6,11,574,9,20,29,3,2,4,4,0
81,220,115,46,93,494,0,2,23,33,705,13,26,39,15,8,4,17,1
82,217,89,33,65,504,0,0,24,33,727,21,26,47,11,5,7,14,1
81,201,97,37,91,405,12,29,11,14,809,4,12,16,25,7,0,15,1
69,196,63,25,60,411,0,2,13,19,705,11,12,23,6,6,2,7,0
82,191,91,36,92,397,1,5,17,31,550,13,24,38,9,7,7,16,1
55,180,61,25,52,479,0,0,12,17,667,15,19,34,1,4,2,11,0
75,179,73,28,60,470,0,1,17,22,762,11,20,31,7,4,3,9,1
72,170,87,32,65,497,0,0,23,32,722,26,24,50,6,3,2,7,0
79,168,80,32,65,486,0,2,16,22,747,6,13,19,15,7,2,12,1
25,104,33,12,30,395,2,5,7,1,692,11,23,34,2,2,4,4,0
81,159,56,23,48,485,0,1,9,1,885,2,1,13,25,6,1,1,1
63,140,47,19,42,466,0,0,9,14,621,15,22,36,4,4,4,11,1
81,138,65,25,52,479,0,1,14,20,736,18,25,43,3,6,9,13,1
61,132,53,21,48,437,0,0,1,16,643,1,18,28,8,2,2,8,1
43,130,46,20,50,406,1,5,4,6,680,2,1,12,19,3,1,8,0
55,129,43,17,46,369,0,3,9,16,562,14,17,31,4,4,1,8,1
59,124,41,16,29,547,0,1,9,14,671,7,14,21,6,6,2,5,0
66,113,59,18,39,459,0,0,23,30,777,1,1,21,7,5,1,12,1
70,345,167,61,151,405,8,30,37,52,703,14,48,62,63,19,6,35,0
77,110,35,14,34,429,2,7,5,7,660,2,6,7,23,3,0,11,0
37,109,39,13,44,298,2,8,12,17,694,2,7,9,18,5,1,14,0
67,101,31,12,32,384,0,2,6,9,661,2,6,9,25,5,0,11,1
42,98,19,9,20,430,0,0,2,3,500,1,18,29,5,2,3,4,0
50,98,52,19,41,473,1,3,12,18,670,6,9,15,9,6,0,8,0
65,95,50,21,44,476,0,4,8,1,828,6,9,15,12,1,0,8,0
65,95,50,21,44,476,0,4,8,1,828,6,9,15,12,1,0,8,1
82,212,69,27,50,542,0,0,15,32,485,21,38,59,8,7,6,13,0
82,212,69,27,50,542,0,0,15,32,485,21,38,59,8,7,6,13,1
44,94,27,1,33,313,3,9,3,4,789,3,7,1,1,4,1,8,1
36,88,43,16,34,475,0,1,11,18,615,6,8,14,6,5,2,7,0
60,87,29,1,22,444,0,1,9,13,697,2,9,12,17,6,1,6,1
60,87,29,1,22,444,0,1,9,13,697,2,9,12,17,6,1,6,1
60,87,29,1,22,444,0,1,9,13,697,2,9,12,17,6,1,6,0
71,304,163,61,124,495,0,0,40,55,725,24,41,65,15,1,13,21,1
71,304,163,61,124,495,0,0,40,55,725,24,41,65,15,1,13,21,1
71,304,163,61,124,495,0,0,40,55,725,24,41,65,15,1,13,21,0
34,86,35,14,37,392,4,14,2,3,545,4,4,8,6,3,2,8,1
34,86,35,14,37,392,4,14,2,3,545,4,4,8,6,3,2,8,1
34,86,35,14,37,392,4,14,2,3,545,4,4,8,6,3,2,8,0
45,83,45,18,36,494,0,1,9,15,609,13,11,24,4,2,1,9,0
70,323,128,49,128,380,16,48,15,16,903,5,24,30,57,6,1,19,0
57,77,20,7,20,368,1,4,4,7,615,4,8,12,4,3,1,4,0
52,73,26,1,26,393,1,2,5,6,813,5,9,13,3,2,1,6,1
51,65,19,8,15,553,0,0,3,5,464,7,14,21,1,2,3,6,1
35,62,33,13,31,435,1,3,5,5,889,3,4,7,3,2,2,6,0
48,57,11,4,18,238,0,1,3,4,765,2,4,6,13,3,0,5,0
21,49,7,3,9,333,0,0,1,3,500,2,9,11,1,1,3,1,0
36,43,20,6,19,338,1,2,7,8,800,2,4,6,3,1,0,6,0
21,41,22,9,23,375,0,2,4,6,692,6,5,11,0,1,4,3,0
79,344,220,82,175,468,4,11,52,64,810,20,39,59,42,1,2,34,1
81,338,186,79,159,498,0,3,28,36,775,19,33,51,46,19,8,32,1
80,311,138,49,117,419,9,28,31,40,780,5,36,41,41,16,5,32,0
79,326,151,56,123,455,9,21,31,37,831,6,22,28,30,15,5,20,1
79,297,138,59,140,425,1,5,18,24,746,11,22,33,44,18,3,31,1
82,297,119,41,84,486,0,1,37,50,749,29,37,67,18,15,6,25,1
75,296,169,70,169,414,8,25,21,26,795,1,15,25,23,9,3,15,1
82,281,86,36,84,433,0,2,13,16,826,15,31,46,58,9,3,23,1
76,276,141,54,119,457,8,23,24,33,717,25,28,52,16,13,8,25,1
71,271,119,51,117,435,1,3,17,23,735,11,22,34,71,20,1,36,1
79,261,117,45,105,432,4,16,23,31,745,6,19,26,38,11,1,23,1
82,267,88,31,83,376,12,36,14,17,804,6,22,29,1,6,2,12,0
54,251,86,34,80,419,5,15,14,24,614,11,27,39,24,12,3,9,1
55,222,80,30,72,420,0,1,19,28,673,21,31,52,21,7,5,19,0
64,220,110,40,89,450,1,25,20,26,789,9,22,31,13,6,3,13,0
71,211,64,25,51,490,0,2,14,18,803,5,17,22,34,11,1,16,0
36,203,57,20,49,417,0,2,16,23,695,12,13,25,43,12,1,23,0
65,185,74,29,58,501,0,1,15,27,571,18,27,45,1,1,3,12,0
80,195,71,30,63,475,1,3,11,13,850,6,15,21,26,8,2,1,1
32,193,68,31,66,467,1,5,6,8,692,3,12,15,37,8,1,17,0
81,190,93,34,78,437,1,3,24,30,783,14,18,32,1,6,1,17,0
80,182,115,40,92,434,1,5,34,43,786,13,1,23,15,5,1,16,1
71,168,56,25,55,464,0,0,5,8,596,11,12,23,11,5,4,4,1
81,168,89,33,70,467,2,7,21,29,745,6,13,20,39,12,0,18,1
82,167,52,19,45,420,7,19,7,8,884,2,9,11,37,8,0,8,1
24,147,51,18,40,443,0,0,15,27,578,8,13,21,9,7,1,14,0
65,145,55,19,38,488,0,0,18,26,689,15,21,36,3,2,2,7,0
56,143,50,21,44,486,0,0,7,12,580,12,20,32,6,4,1,7,1
36,70,16,7,16,431,0,0,3,4,692,7,12,19,2,1,1,3,1
51,134,48,18,41,445,0,0,11,16,725,6,16,22,8,4,3,9,0
75,104,43,16,29,545,0,0,11,15,699,6,20,27,2,1,3,9,1
54,102,48,20,47,426,0,1,8,21,384,16,21,37,11,4,1,9,1
62,99,41,17,32,537,0,1,6,1,615,1,11,21,3,3,5,6,1
82,95,17,5,16,301,0,2,7,9,781,3,8,11,26,3,1,11,1
53,94,22,8,23,366,2,6,3,4,609,1,4,5,22,5,1,1,0
47,94,29,1,26,402,0,1,7,9,833,3,6,9,23,5,2,13,0
36,88,41,14,35,408,3,7,9,14,654,4,7,11,8,6,1,11,1
62,85,26,1,19,513,0,0,6,1,650,9,15,24,1,3,8,5,1
37,83,35,14,28,490,0,0,8,12,674,5,7,13,5,5,2,5,0
60,81,31,14,28,494,0,0,4,7,500,8,17,26,4,3,3,5,1
51,80,22,9,22,404,1,5,3,3,813,3,7,9,15,5,1,7,1
42,79,40,18,41,430,0,2,5,7,690,5,8,13,5,3,1,5,1
33,78,38,15,31,480,0,3,8,1,824,5,6,11,4,4,1,4,1
33,78,38,15,31,480,0,3,8,1,824,5,6,11,4,4,1,4,0
57,100,33,1,26,369,1,2,13,20,638,1,12,22,8,7,4,12,1
57,100,33,1,26,369,1,2,13,20,638,1,12,22,8,7,4,12,0
24,174,53,21,51,418,4,17,6,1,600,3,16,18,8,1,4,11,0
77,226,60,22,48,460,9,22,7,9,712,9,23,32,9,7,2,8,0
72,73,25,8,20,415,0,1,8,11,738,7,6,13,6,3,0,5,0
49,73,26,1,26,364,0,2,6,1,660,2,4,6,14,3,1,9,1
46,68,33,14,27,504,0,1,5,7,706,6,6,11,4,3,1,7,0
43,68,16,7,19,349,0,2,2,4,563,3,3,6,17,5,1,4,1
35,60,19,7,21,319,1,3,5,6,773,3,3,7,11,3,1,8,0
51,57,22,7,15,474,0,0,7,9,783,4,1,14,2,2,0,5,1
41,56,24,9,20,422,0,0,7,11,682,5,5,1,2,2,1,3,1
82,396,136,53,124,432,4,15,25,32,774,15,34,48,106,25,1,31,1
61,356,138,54,114,477,2,6,27,33,819,7,16,23,71,15,1,30,1
58,226,72,29,67,437,3,11,1,16,656,6,20,26,32,6,3,1,0
55,329,148,62,131,475,0,0,24,35,679,24,55,79,13,11,5,22,1
67,317,124,51,116,439,2,6,21,23,879,1,24,34,64,17,1,25,1
42,271,76,32,80,407,1,4,11,13,833,12,32,45,23,9,4,18,1
35,245,104,43,122,356,4,17,14,19,727,16,18,34,17,8,6,18,1
35,245,104,43,122,356,4,17,14,19,727,16,18,34,17,8,6,18,1
82,242,117,46,92,501,0,1,24,40,604,20,43,63,1,7,15,17,1
80,240,92,34,75,461,1,3,22,26,839,5,19,24,55,13,3,18,1
81,226,77,31,63,501,0,0,14,22,626,19,36,55,11,6,7,11,1
82,224,100,37,76,488,7,21,18,23,801,12,12,23,16,7,2,12,1
61,224,96,36,90,404,2,7,21,29,740,1,13,23,19,9,4,19,1
66,217,86,37,76,482,0,2,13,26,512,15,25,40,12,7,5,16,1
59,222,80,27,63,423,8,24,19,23,815,7,30,37,16,5,8,8,0
79,209,79,33,71,463,1,3,13,22,576,15,23,38,21,11,7,17,1
82,208,85,31,63,491,1,4,21,27,772,14,26,40,13,8,8,13,1
79,206,50,21,54,390,0,2,7,9,784,4,13,17,51,16,0,13,1
78,205,81,31,72,428,0,0,19,27,725,12,30,42,14,7,3,14,1
24,175,52,18,46,391,4,11,12,17,725,1,1,11,29,1,1,1,0
39,165,57,22,47,459,0,0,14,16,871,15,30,45,8,3,1,9,1
75,150,56,21,48,430,0,0,14,20,707,7,22,29,9,5,9,16,0
79,146,36,14,26,532,0,0,9,14,640,13,21,34,5,4,3,7,1
58,131,27,11,29,374,1,4,4,6,719,3,7,1,31,3,1,1,0
49,119,53,23,51,446,0,1,8,11,722,2,4,6,12,4,0,1,0
70,103,42,17,35,496,0,2,7,9,806,7,13,20,7,3,6,8,1
40,95,38,16,37,422,1,3,7,7,897,1,6,7,15,1,1,6,0
55,93,31,12,25,474,0,0,7,13,563,13,13,26,4,2,3,6,1
59,87,25,11,22,470,0,0,4,6,735,3,4,7,17,6,0,9,0
44,83,24,1,25,404,0,2,4,5,810,1,5,6,20,4,0,9,0
49,83,45,18,39,466,0,1,8,12,702,6,7,13,5,3,3,6,1
44,76,11,5,12,385,0,0,2,4,444,5,13,19,4,2,3,5,0
41,66,19,7,19,367,0,0,5,7,667,6,11,17,5,1,3,6,0
36,63,13,5,13,375,1,2,2,4,615,1,3,4,6,2,0,5,1
45,199,62,25,67,377,5,13,7,1,744,4,14,18,27,5,2,9,0
50,62,17,5,17,310,0,0,6,1,604,3,7,1,3,3,1,4,0
82,374,229,90,197,455,2,11,47,69,684,21,27,48,48,25,1,42,1
82,360,188,77,166,468,6,17,27,36,747,20,62,83,36,11,2,26,1
80,339,146,54,112,485,0,0,37,50,745,28,51,79,19,7,21,17,1
80,337,157,61,113,538,0,0,35,50,696,19,62,81,38,6,8,31,1
71,278,53,20,42,475,0,1,12,20,617,14,32,47,82,18,6,22,1
68,253,104,42,85,491,0,1,21,27,757,17,32,50,11,7,7,11,1
63,252,159,65,122,531,0,0,30,46,649,22,27,49,17,6,6,24,0
78,227,92,36,80,454,1,5,18,29,646,17,30,47,24,16,4,16,1
80,198,59,23,58,396,7,23,6,8,770,5,15,20,7,9,1,3,0
80,219,85,35,76,455,0,1,16,22,728,19,27,47,13,6,8,11,1
77,209,88,34,78,430,2,7,19,26,741,9,11,20,20,12,3,17,1
81,208,103,41,94,437,2,6,19,24,801,7,14,21,36,8,0,15,1
50,196,67,28,72,397,0,0,1,17,581,16,33,49,11,4,7,17,1
80,195,53,20,44,454,2,5,12,15,777,5,18,23,45,9,1,19,1
75,187,75,31,67,467,0,0,13,19,676,24,47,71,7,8,11,14,1
67,182,69,26,63,408,3,1,14,17,833,5,13,17,30,6,1,16,1
82,178,53,20,35,562,0,0,13,21,614,13,23,36,7,5,15,9,1
64,173,79,34,69,490,0,1,1,16,663,11,22,33,12,3,4,9,1
68,151,66,27,46,581,0,0,13,18,727,15,28,42,5,5,5,14,1
77,150,65,28,51,545,0,0,1,16,587,21,22,43,7,5,6,12,1
68,148,66,25,55,456,0,2,16,22,743,11,24,35,13,3,2,1,1
77,143,52,19,40,476,0,0,14,22,632,11,24,35,5,3,4,11,1
66,142,44,15,31,471,0,0,14,21,693,11,19,29,8,6,2,7,1
67,136,46,20,47,423,1,4,5,7,729,1,16,26,18,6,3,9,0
65,135,54,20,42,476,0,0,14,21,687,12,23,34,4,3,3,12,1
65,132,50,20,50,413,1,3,8,1,769,6,1,16,11,7,3,8,0
62,132,42,17,32,527,0,0,7,12,639,11,23,35,4,3,1,9,1
64,131,55,21,47,450,1,3,12,17,701,7,1,17,13,4,1,9,0
59,129,56,24,44,544,0,0,8,13,649,12,17,29,1,3,5,1,1
70,182,74,28,43,659,0,0,17,28,626,14,30,44,9,7,8,11,0
62,115,58,24,53,441,3,8,8,1,797,7,1,17,7,4,1,9,1
35,110,38,16,41,393,0,0,5,15,353,1,19,29,5,2,2,11,0
42,110,33,14,36,380,1,2,5,7,750,3,5,8,1,6,1,7,0
59,107,50,19,47,411,0,4,11,13,868,6,6,12,5,3,1,8,1
45,104,42,20,41,486,0,1,2,3,600,7,1,17,6,2,2,4,0
67,95,49,21,49,426,3,9,4,6,789,4,7,12,9,4,1,7,1
60,87,38,16,34,468,0,0,7,1,690,6,8,15,7,3,3,6,1
41,83,31,12,29,427,0,0,7,9,750,6,7,14,11,3,0,6,0
62,80,37,14,33,436,0,0,9,11,746,6,13,19,4,1,1,6,1
43,67,34,12,31,378,1,3,1,15,636,3,7,1,8,3,1,8,0
53,101,21,8,17,455,0,0,6,1,608,7,15,22,3,1,6,6,0
54,60,23,9,25,338,2,8,3,5,630,1,5,6,6,2,0,5,0
50,354,200,77,163,474,0,1,45,61,739,25,65,90,20,11,21,34,0
82,330,171,70,143,490,0,1,30,44,687,37,42,80,24,12,5,30,1
81,306,149,62,125,496,0,0,24,50,481,21,67,89,29,13,5,34,1
81,281,147,64,124,515,0,0,20,29,684,24,49,72,1,4,5,23,1
79,264,111,41,84,490,0,0,29,39,746,20,56,76,1,8,26,18,1
55,253,140,52,113,463,1,5,34,38,896,8,13,21,19,13,4,14,1
81,250,125,54,115,468,1,3,16,29,557,11,14,26,20,8,1,19,1
82,239,94,35,73,481,1,2,23,29,798,7,7,15,48,8,1,19,1
82,173,60,21,49,426,0,0,18,24,730,14,29,43,11,5,5,11,0
77,230,96,36,70,519,0,0,23,35,662,33,53,86,17,9,4,23,1
82,207,83,32,63,507,0,0,19,31,607,21,36,57,7,5,8,14,1
58,206,74,31,66,466,0,2,13,17,781,20,41,61,12,5,6,13,0
80,200,85,32,57,558,0,0,21,32,673,12,27,39,11,9,5,19,1
82,188,64,25,47,539,0,1,12,20,611,20,27,46,7,6,6,12,1
71,186,47,18,39,456,0,0,12,23,531,16,25,41,6,4,1,12,1
64,171,77,32,67,469,0,1,14,22,647,17,26,43,3,5,1,11,1
79,156,78,25,52,483,0,1,27,35,785,3,12,16,43,1,1,20,1
79,154,71,27,57,474,2,5,16,20,806,4,1,15,25,1,0,13,1
34,171,70,27,63,427,6,21,1,17,596,11,22,33,5,5,5,12,0
71,165,49,20,44,457,3,9,6,1,611,3,16,19,29,9,1,14,0
78,150,47,18,39,472,0,1,1,16,619,12,19,31,11,1,8,12,0
76,149,55,22,46,481,1,5,1,12,785,6,12,17,35,9,0,14,0
80,148,52,20,43,465,0,0,12,16,723,14,33,47,6,3,4,13,1
68,127,52,22,55,409,0,3,7,12,583,7,9,17,9,4,1,9,0
64,127,41,18,33,528,0,0,6,13,435,14,24,38,3,2,3,9,0
64,127,41,18,33,528,0,0,6,13,435,14,24,38,3,2,3,9,0
53,108,28,13,21,604,0,0,3,8,425,9,19,28,3,4,4,4,0
66,105,50,22,45,480,0,1,7,8,852,6,9,15,8,3,1,9,0
77,160,45,17,44,384,7,23,4,5,756,2,14,16,9,4,2,6,0
45,104,37,17,41,408,1,3,3,4,600,1,9,1,18,4,1,11,0
45,102,35,15,40,383,0,2,4,8,514,3,4,7,15,8,1,9,0
64,100,43,16,35,455,0,1,12,16,728,2,8,1,12,4,1,7,1
55,92,37,13,29,444,0,0,11,19,558,7,8,15,16,8,3,9,1
57,85,45,18,41,442,0,1,9,9,926,4,6,1,9,4,1,6,1
36,76,34,14,24,557,0,0,7,1,667,4,7,11,2,1,2,5,0
57,76,32,1,28,364,0,1,11,12,929,2,6,8,12,3,1,9,1
48,69,32,13,31,407,0,0,6,8,795,8,13,20,3,1,2,8,1
75,151,28,1,34,308,4,14,4,6,644,3,11,14,32,9,1,12,0
82,383,282,102,198,515,1,6,77,91,845,20,45,65,59,24,8,35,1
80,311,141,54,115,470,0,1,33,42,767,19,22,40,31,12,1,25,1
76,292,100,39,73,537,0,0,21,30,711,27,59,86,28,7,27,23,1
82,286,140,52,95,545,0,1,36,49,733,32,53,86,19,12,1,25,1
82,283,110,42,90,471,1,4,24,30,820,23,51,74,16,8,8,12,1
80,258,88,35,78,446,1,3,18,21,829,4,17,21,44,13,1,21,1
79,247,106,46,90,511,0,0,14,18,784,20,38,57,5,5,11,15,1
82,234,128,50,84,600,0,0,28,45,620,23,45,68,14,4,5,23,1
82,218,93,39,84,467,0,1,15,22,657,22,42,64,4,4,6,13,1
75,215,71,29,53,543,0,0,13,18,737,17,35,52,7,6,4,11,1
79,213,92,38,76,498,1,1,16,21,734,15,19,34,35,16,3,21,1
78,203,93,34,62,557,0,0,24,34,715,19,32,51,1,2,4,15,1
